#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
485;RS;NOVO HAMBURGO;246.452;Cinespaço Novo Hamburgo;CINEMARK;17855;5
486;RS;PALMEIRA DAS MISSÕES;33.481;Cine Globo Palmeira Das Missões;CINE GLOBO;28672;1
487;RS;PASSO FUNDO;201.767;Arcoplex Bella Citta;ARCOPLEX;24039;2
488;RS;PASSO FUNDO;201.767;Centerplex Passo Fundo;CENTERPLEX;38164;2
489;RS;PELOTAS;341.648;Cine Arte Pelotas;INDEPENDENTE;28265;4
490;RS;PELOTAS;341.648;Cineflix Shopping Pelotas;CINEFLIX;24304;5
491;RS;PORTO ALEGRE;1.479.101;Arcoplex Boulevard;ARCOPLEX;24064;2
492;RS;PORTO ALEGRE;1.479.101;Arcoplex Rua da Praia Shopping;ARCOPLEX;24058;2
493;RS;PORTO ALEGRE;1.479.101;Cine Bancários;INDEPENDENTE;14823;1
494;RS;PORTO ALEGRE;1.479.101;Cineflix Shopping Total;CINEFLIX;6669;5
495;RS;PORTO ALEGRE;1.479.101;Cinemark Barra Sul;CINEMARK;14884;8
496;RS;PORTO ALEGRE;1.479.101;Cinemark Bourbon Ipiranga;CINEMARK;901;6
497;RS;PORTO ALEGRE;1.479.101;Cinemateca Capitólio;INDEPENDENTE;36918;1
498;RS;PORTO ALEGRE;1.479.101;"""Cinemateca Paulo Amorim (Sala Eduardo Hirtz, Sala Norberto Lubisco e Sala Paulo Amorim)""";INDEPENDENTE;6750;3
499;RS;PORTO ALEGRE;1.479.101;Cinépolis JP Porto Alegre;CINÉPOLIS;38323;4
500;RS;PORTO ALEGRE;1.479.101;Cinespaço Wallig;CINEMARK;22379;8
501;RS;PORTO ALEGRE;1.479.101;Espaço Itaú de Cinema - Porto Alegre;ESPAÇO;2738;8
502;RS;PORTO ALEGRE;1.479.101;GNC Iguatemi;GNC;14730;6
503;RS;PORTO ALEGRE;1.479.101;GNC Lindóia;GNC;3067;2
504;RS;PORTO ALEGRE;1.479.101;GNC Moinhos;GNC;3057;4
505;RS;PORTO ALEGRE;1.479.101;GNC Praia de Belas;GNC;2972;6
506;RS;PORTO ALEGRE;1.479.101;Guion Center Cinemas;INDEPENDENTE;6683;3
507;RS;RIO GRANDE;210.005;Cine Dunas - Cassino;INDEPENDENTE;15053;1
508;RS;RIO GRANDE;210.005;Cine Sercla Rio Grande (Partage Shopping);EXIBIDORA NACIONAL;32278;4
509;RS;RIO GRANDE;210.005;Cinesystem Praça Rio Grande Shopping;CINESYSTEM;27507;4
510;RS;SANTA CRUZ DO SUL;129.427;Cine Santa Cruz;INDEPENDENTE;31896;2
511;RS;SANTA CRUZ DO SUL;129.427;Cine Via Sete Santa Cruz do Sul;MAHMUD;23879;2
512;RS;SANTA MARIA;280.505;Arcoplex Royal Plaza;ARCOPLEX;24060;4
513;RS;SANTA MARIA;280.505;Cinépolis Santa Maria;CINÉPOLIS;37222;5
514;RS;SANTA ROSA;72.919;Cine Globo Santa Rosa;CINE GLOBO;29163;1
515;RS;SANTIAGO;49.493;Maxicine;INDEPENDENTE;27313;1
516;RS;SANTO ÂNGELO;77.620;Cine Cisne;INDEPENDENTE;6753;3
517;RS;SÃO LEOPOLDO;234.947;Cinesystem Bourbon Shopping;CINESYSTEM;6682;5
