Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros 2017;;;;;;;;;;;
;;;;;;;;;;;
Número de Autorização de Origem;Data da Aprovação;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Produção;Local de Filmagem (UF)
56;27/03/2017;2;"""Ursinho""";Ficção;"""17 a 28 de abril de 2017""";Bonfilm Produção e Distribuição Audiovisual;RJ;"""Fury""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
60;27/03/2017;4;"""First Time to... Rio de Janeiro""";Documentário;"""5 a 10 de abril de 2017""";Viva Filmes Ltda;RJ;"""Palawan Television""";"""Reino Unido""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
61;27/03/2017;2;"""World War Zika""";Documentário;"""29 de março a 5 de abril""";Andara Filmes Ltda - ME;SP;"""Paprika Films - Laurent Baujrd""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ); São Paulo e Piracicaba (SP)"""
58;28/03/2017;4;"""O Mundo Selvagem de Freek""";Documentário;"""26 de junho a 13 de julho de 2017""";Mangaba Produções Ltda - ME;BA;"""Second Nature""";"""Holanda""";Produção Estrangeira;"""Cuiabá (MT); Pantanal (MS)"""
59;28/03/2017;4;"""Before the 90 Days""";Documentário;"""8 a 26 de abril de 2017""";Story Produções Ltda - EPP;SP;"""Sharp Entertainment, LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Manaus, Tabatinga e Tonantins (AM)"""
62;03/04/2017;1;"""Gran Meliá 360""";Institucional;"""22 a 27 de abril de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
63;03/04/2017;1;"""Bigodes""";Obra Publicitária;"""30 de março a 5 de abril de 2017""";AliceFilmes Ltda;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
65;04/04/2017;8;"""Mary Lou Plate Shoot""";Ficção;"""29 de maio a 5 de junho de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Barreirinhas (MA)"""
64;06/04/2017;4;"""Network""";Obra Publicitária;"""6 a 30 de abril de 2017""";Ocean Produção de Filmes Ltda;SC;"""Moxie Pictures""";"""Reino Unido""";Produção Estrangeira;"""Rio de Janeiro e Cabo Frio (RJ)"""
66;07/04/2017;10;"""M/V Alucia in Brazil""";Documentário;"""20 de abril a 30 de maio de 2017""";Neon Rio Ltda;RJ;"""Alucia Productions LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP); Fernando de Noronha (PE)"""
69;13/04/2017;3;"""Testemonial""";Obra Publicitária;"""19 de abril a 11 de maio de 2017""";Domo Produções Ltda.;SP;"""Fancy Content""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP); Salvador (BA)"""
72;13/04/2017;3;"""New City App""";Documentário;"""18 de abril a 12 de maio de 2017""";Domo Produções Ltda.;SP;"""Smuggler Films""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
73;13/04/2017;2;"""Velhovens""";Obra Publicitária;"""14 a 19 de abril de 2017""";AliceFilmes Ltda;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
70;17/04/2017;7;"""Feast or Famine""";Documentário;"""8 a 20 de maio de 2017""";Sol Entertainment Ltda.;RJ;"""Condition One LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Goiás (GO); Santarém (PA)"""
71;20/04/2017;6;"""SEKAINO MURA DE HAKKEN ! KONNA TOKORONI NIHONIIN""";Documentário;"""30 de abril a 20 de maio de 2017""";Urutau Filmes Ltda;SP;"""Guild Inc""";"""Japão""";Produção Estrangeira;"""São Joaquim e Painel (SC)"""
74;20/04/2017;5;"""Green Energy Series""";Documentário;"""3 a 7 de maio de 2017""";Viva Filmes Ltda;RJ;"""Renegade Pictures (UK) Limited""";"""Reino Unido""";Produção Estrangeira;"""Rio de Janeiro (RJ); São Paulo (SP)"""
75;20/04/2017;3;"""IBM Vmware""";Institucional;"""6 a 11 de maio 2017""";Sol Entertainment Ltda.;RJ;"""Quango Interactive Inc""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
76;26/04/2017;11;"""The Voyager - Rio de Janeiro""";Documentário;"""29 de outubro a 3 de novembro de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
77;27/04/2017;3;"""The Challenge""";Documentário;"""27 de abril a 15 de maio de 2017""";Domo Produções Ltda.;SP;"""Pulse Films""";"""Estados Unidos da América""";Produção Estrangeira;"""Recife (PE)"""
79;27/04/2017;5;"""Ichiokunin no Daishitsumon!? Waratte Koraete - Perguntas de Cem Milhões de Pessoas""";Documentário;"""3 de junho a 10 de julho de 2017""";Xes Projetos Visuais Ltda;SP;"""Nichiki Co, Ltd""";"""Japão""";Produção Estrangeira;"""Rio de Janeiro (RJ); São Luís, Alcântara, Pinheiro, Guimarães, Mirinzal, Curupuru e Ilha Caçacueira (MA)"""
82;28/04/2017;9;"""UFC - José Aldo""";Obra Publicitária;"""1º a 15 de maio de 2017""";Ocean Produção de Filmes Ltda;SC;"""Digital Domain""";"""Reino Unido""";Produção Estrangeira;"""Rio de Janeiro e Cabo Frio (RJ)"""
67;03/05/2017;6;"""Brazil Specials""";Documentário;"""20 de maio a 10 de junho de 2017""";Illuminati Produções Cinematográficas Ltda ;DF;"""Rudaw Media Network""";"""Iraque""";Produção Estrangeira;"""Rio de Janeiro (RJ); São Paulo e Santos (SP); Florianópolis (SC)"""
80;04/05/2017;4;"""Sparlost - Episódio São Paulo""";Documentário;"""7 a 13 de maio de 2017""";Story Produções Ltda - EPP;SP;"""Monday Production AB""";"""Suécia""";Produção Estrangeira;"""São Paulo (SP)"""
81;04/05/2017;2;"""Vanished""";Documentário;"""8 a 16 de maio de 2017""";Modo Operante Produções Culturais Ltda;RJ;"""Wall to Wall Media Services""";"""Reino Unido""";Produção Estrangeira;"""Brasília (DF); Rio de Janeiro (RJ); Taubaté (SP); Porto Seguro (BA); Boa Vista (RR)"""
83;04/05/2017;2;"""Great Nature - Fase II""";Documentário;"""16 de maio a 25 de junho de 2017""";Sango Productions Ltda.;SP;"""Nihon Denpa News Co. Ltd""";"""Japão""";Produção Estrangeira;"""Barreirinhas (MA); Cuiabá (MT); Campo Grande (MS)"""
85;04/05/2017;4;"""A Terra Vista do Espaço - Episódio 4""";Documentário;"""15 de junho a 5 de julho de 2017""";Neon Rio Ltda;RJ;"""BBC Natural History Unit""";"""Reino Unido""";Produção Estrangeira;"""São Luís do Maranhão (MA)"""
86;04/05/2017;1;"""Carrefour: The taste of the Others""";Documentário;"""7 a 12 de junho de 2017""";Utopia Filmes Produção Artística Ltda;RJ;"""Gang Films""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
88;04/05/2017;10;"""Mitsui Fudosan""";Obra Publicitária;"""17 de maio a 10 de julho de 2017""";Xes Projetos Visuais Ltda;SP;"""Nibankobo Productions Corporation""";"""Japão""";Produção Estrangeira;"""Rio de Janeiro e Barra Mansa (RJ); Curitiba (PR); Belo Horizonte (MG)"""
84;11/05/2017;5;"""Rik Beyond Borders """;Documentário;"""11 a 30 de maio de 2017""";Blue Eye Empreendimentos e Produções Audiovisuais Ltda;RJ;"""TVBV BV """;"""Países Baixos""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
87;11/05/2017;7;"""O Amor Está no Ar""";Reality Show;"""18 a 23 de maio de 2017""";Mangaba Produções Ltda - ME;BA;"""Endemol Shine Nederland Producties B.V""";"""Holanda""";Produção Estrangeira;"""Rio de Janeiro (RJ); Salvador (BA)"""
89;11/05/2017;3;"""Goodbye Deutschland - Christian Blankenhorn""";Documentário;"""22 a 30 de maio de 2017""";Aura Filme Produções Ltda.;RJ;"""Norddeich TV Produktionsgesellschaft mbH""";"""Alemanha""";Produção Estrangeira;"""Manaus (AM)"""
90;15/05/2017;4;"""Celebrate the Sun & Pool Party""";Obra Publicitária;"""27 e 28 de maio de 2017""";BRVR Filmes Ltda;SP;"""Serial Pictures""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
91;15/05/2017;14;"""Riders Red Minas Bull""";Documentário;"""15 a 25 de maio de 2017""";Aura Filme Produções Ltda.;RJ;"""Red Bull Media House GMBH""";"""Áustria""";Produção Estrangeira;"""Belo Horizonte (MG)"""
92;15/05/2017;3;"""Laboratório da Luta - Segunda Temporada""";Seriado de Variedades;"""25 a 28 de maio de 2017""";Radar Cinema e  Televisão Ltda;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
94;15/05/2017;1;"""UFC Embedded 212""";Documentário;"""26 de maio a 4 de junho de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
93;19/05/2017;6;"""Sony Bravia 4k""";Obra Publicitária;"""25 de maio a 23 de junho de 2017""";Vandalo EPP - Ltda;SP;"""Gunrock""";"""Japão""";Produção Estrangeira;"""Lençóis Maranhenses (MA)"""
96;19/05/2017;2;"""Belmond""";Institucional;"""26 a 31 de maio de 2017""";Utopia Filmes Produção Artística Ltda;RJ;"""Solab""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
97;23/05/2017;3;"""UFC: Aldo - Parte II""";Obra Publicitária;"""23 de maio a 10 de junho de 2017""";Ocean Produção de Filmes Ltda;SC;"""Digital Domain""";"""Reino Unido""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
98;30/05/2017;3;"""Texas""";Ficção;"""01 de julho a 30 de outubro de 2017""";Art Age Eireli EPP;SP;"""Amir Rahimi""";"""Irã""";Produção Estrangeira;"""São Paulo, Boituva, Paranapiacaba, Ilha Bela e Guarulhos (SP); Rio de Janeiro e Paraty (RJ), Foz do Iguaçu (PR), Parintins (AM), Natal (RN)"""
100;30/05/2017;1;"""O Chalé é uma Ilha Batida de Vento e Chuva""";Documentário;"""24 de junho a 10 de julho de 2017""";Matizar Produções Artísticas Ltda;RJ;""" -""";""" -""";Produção Brasileira;"""Belém e Ilha do Marajó (PA)"""
102;30/05/2017;3;"""Ocelots (Jaguatirica)""";Documentário;"""04 a 16 de julho de 2017""";Neon Rio Ltda;RJ;"""Plimsoll Productions""";"""Reino Unido""";Produção Estrangeira;"""Pantanal (MT)"""
103;30/05/2017;15;"""Naked & Afraid""";Entretenimento;"""10 de julho a 16 de agosto de 2017""";Camelô Produções ;RJ;"""Battle Beat Productions""";"""Estados Unidos da América""";Produção Estrangeira;"""Região do Jalapão: Mateiros e São Félix (TO)"""
