"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""59""";21/03/2012;"""1""";"""Brazil With Michael Palin - Part 4""";"""Documentário""";"""01/04/2012 a 25/04/2012""";"""Manga Rosa Filmes Ltda.""";"""RS""";"""Prominent Palin Productions""";"""Reino Unido""";"""Estrangeira""";"""PR/RJ/SC/SP"""
"""60""";22/03/2012;"""6""";"""Lollapalooza""";"""Documentário""";"""04/04/2012 a 09/04/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Milkt Films""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
"""61""";22/03/2012;"""14""";"""Oprah's Next Chapter""";"""Documentário""";"""26/03/2012 a 30/03/2012""";"""Latina Studios Produções Ltda.""";"""SP""";"""Harpo Productions, LLC""";"""Estados Unidos""";"""Estrangeira""";"""GO"""
"""62""";27/03/2012;"""7""";"""Wild Brazil - Parte 1""";"""Documentário""";"""01/04/2012 a 26/06/2012""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";"""British Broadcasting Corporation - BBC """;"""Reino Unido""";"""Estrangeira""";"""AM/GO/MT/MS/MG/RJ/SP"""
"""062-1""";29/06/2012;"""9""";"""Wild Brazil - Parte 2""";"""Documentário""";"""27/06/2012 a 29/09/2012""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";"""British Broadcasting Corporation - BBC """;"""Reino Unido""";"""Estrangeira""";"""AM/GO/MT/MS/MG/RJ/SP"""
"""062-4""";14/09/2012;"""8""";"""Wild Brazil - Parte 3""";"""Documentário""";"""30/09/2012 a 30/10/2012""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";"""British Broadcasting Corporation - BBC """;"""Reino Unido""";"""Estrangeira""";"""AM/GO/MT/MS/MG/RJ/SP"""
"""062-6""";05/11/2012;"""7""";"""Wild Brazil - Parte 4""";"""Documentário""";"""09/11/2012 a 11/02/2013""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";"""British Broadcasting Corporation - BBC """;"""Reino Unido""";"""Estrangeira""";"""MT/MS/MG/PI"""
"""63""";30/03/2012;"""4""";"""2111""";"""Documentário""";"""13/05/2012 a 12/06/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""Griyos SRL""";"""Argentina""";"""Estrangeira""";"""SP"""
"""64""";30/03/2012;"""4""";"""Neanderthal""";"""Publicitária""";"""20/04/2012 a 20/05/2012""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""65""";30/03/2012;"""3""";"""10 Anos Mais Jovem""";"""Programa de TV""";"""02/04/2012 a 10/05/2012""";"""Acere Produção Artística e Cultural Ltda.""";"""SP""";"""Endemol Argentina S.A.""";"""Argentina""";"""Estrangeira""";"""SP"""
