Listagem de Distribuidoras 2009 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de exibição;Distribuidora;Número de Registro Ancine;Origem da empresa distribuidora;Público;Público Filmes Brasileiros;Renda (R$);Renda Filmes Brasileiros (R$);Títulos Exibidos;Títulos Brasileiros Exibidos;Títulos Lançados;Títulos Brasileiros Lançados;;
2011;Universal;169/84/33787;Distribuição Internacional;6.329.264;593.861;59.818.790,00;5.881.678,00;17;2;11;1;;
2011;Videofilmes;276;Distribuição Nacional;10.436;10.436;96.645,82;96.645,82;5;5;4;4;;
2011;Vinny Filmes;17810;Distribuição Nacional;828.408;0;7.919.553,22;0,00;5;0;5;0;;
2011;Vitrine Filmes;16713;Distribuição Nacional;26.677;25.512;212.897,01;202.101,01;17;16;14;13;;
2011;Warner;265;Distribuição Internacional;18.131.124;54.563;184.760.347,36;536.448,00;37;3;21;2;;
2011;Warner/RioFilme;265/105;Codistribuição Internacional-Nacional;3.426;3.426;10.198,00;10.198,00;1;1;0;0;;
2011;Zazen;611;Distribuição Nacional;123.248;123.248;1.141.039,58;1.141.039,58;1;1;0;0;;
2011;Zéfiro Produções;18707;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2012;Ab Filmes;136;Distribuição Nacional;13.507;0;151.492,28;0,00;3;0;2;0;;
2012;Ab Filmes/Festival Filmes;136/16538;Distribuição Nacional;118;118;749,00;749,00;1;1;0;0;;
2012;Ab Filmes/Polifilmes;136/2550;Distribuição Nacional;7.149;7.149;71.046,47;71.046,47;1;1;1;1;;
2012;Affonso Uchôa;20515;Distribuição Nacional;321;321;1.488,50;1.488,50;1;1;1;1;;
2012;Bollywood Filmes;20883;Distribuição Nacional;1.355;0;12.518,21;0,00;1;0;1;0;;
2012;Bonfilm;14462;Distribuição Nacional;141;0;910,50;0,00;1;0;0;0;;
2012;Caliban;854;Distribuição Nacional;4.493;4.493;40.278,50;40.278,50;1;1;1;1;;
2012;Califórnia;532;Distribuição Nacional;1.763.263;38.739;21.285.077,06;393.592,81;22;1;16;1;;
2012;Canal Azul;526;Distribuição Nacional;691;691;7.719,00;7.719,00;1;1;1;1;;
2012;Carioca;1442;Distribuição Nacional;60;60;190,75;190,75;1;1;0;0;;
2012;Casa Azul;2260;Distribuição Nacional;39;39;415,00;415,00;1;1;1;1;;
2012;Ciclorama Filmes;17471;Distribuição Nacional;322;322;1.692,00;1.692,00;1;1;1;1;;
2012;Copacabana Filmes;506;Distribuição Nacional;96;96;320,00;320,00;1;1;0;0;;
2012;Disney;18398;Distribuição Internacional;17.141.172;0;200.716.283,11;0,00;16;0;7;0;;
2012;Downtown;4904;Distribuição Nacional;48.739;48.739;511.058,02;511.058,02;5;5;2;2;;
2012;Downtown/Paris/RioFilme;4904/11922/105;Distribuição Nacional;9.970.033;9.970.033;101.054.281,79;101.054.281,79;6;6;6;6;;
2012;Downtown/RioFilme;4904/105;Distribuição Nacional;96.357;96.357;1.026.880,87;1.026.880,87;2;2;1;1;;
2012;Elo Company;5672;Distribuição Nacional;681;681;8.576,42;8.576,42;1;1;1;1;;
2012;Empresa Cinematográfica Pampeana;929;Distribuição Nacional;970;970;8.524,81;8.524,81;1;1;1;1;;
2012;Esfera Produções;18039;Distribuição Nacional;41.931;0;498.241,61;0,00;8;0;6;0;;
2012;Espaço Filmes;1083;Distribuição Nacional;21.847;21.847;228.387,88;228.387,88;7;7;5;5;;
2012;Espaço Itaú de Cinema;14006;Distribuição Nacional;1.639;0;34.470,12;0,00;2;0;1;0;;
2012;Filmes da Mostra;1797/29957;Distribuição Nacional;16.860;0;152.203,82;0,00;11;0;5;0;;
2012;Filmes do Estação;592;Distribuição Nacional;24.885;54;222.280,89;321,00;5;1;1;0;;
2012;Formosa Filmes;16462;Distribuição Nacional;18;18;192,00;192,00;1;1;0;0;;
2012;Fox;256;Distribuição Internacional;21.096.097;160.554;219.680.717,47;1.492.417,77;25;3;15;1;;
2012;Fraiha Produções;298;Distribuição Nacional;980;980;10.098,24;10.098,24;1;1;1;1;;
2012;G7 Cinema;5341;Distribuição Nacional;13.609;13.609;161.692,46;161.692,46;1;1;1;1;;
2012;Gávea Filmes e Produções;7128;Distribuição Nacional;2.263;2.263;13.943,21;13.943,21;2;2;1;1;;
2012;Graça Filmes;16514;Distribuição Nacional;292.796;0;2.652.680,52;0,00;1;0;1;0;;
2012;Grafo Audiovisual;13715;Distribuição Nacional;1.884;1.884;16.751,10;16.751,10;1;1;1;1;;
2012;H2O Films;24619/21541;Distribuição Nacional;4.329;4.329;42.923,81;42.923,81;1;1;1;1;;
2012;H2O Films/RioFilme;24619/21541/105;Distribuição Nacional;61.312;61.312;453.499,97;453.499,97;2;2;2;2;;
2012;Ideias Maria Farinha;15848;Distribuição Nacional;2.744;2.744;29.153,99;29.153,99;1;1;1;1;;
2012;Imagem;1935;Distribuição Nacional;12.419.712;689.494;136.702.831,17;6.753.605,80;44;8;29;3;;
2012;Imovision;11868/173;Distribuição Nacional;1.027.417;114.470;11.857.567,73;1.204.043,12;56;6;34;5;;
2012;Kinofilmes Produções;232;Distribuição Nacional;279;279;3.191,00;3.191,00;1;1;1;1;;
2012;Leão Filmes;346;Distribuição Nacional;53;53;299,00;299,00;1;1;0;0;;
2012;Like Filmes;13632;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2012;Lume Produções Cinematográficas;11990;Distribuição Nacional;31.975;1.486;257.175,31;9.596,31;14;2;8;2;;
2012;Mapa Filmes do Brasil;647;Distribuição Nacional;597;597;6.041,50;6.041,50;1;1;0;0;;
2012;Maxie Demian;1417;Distribuição Nacional;283;283;2.015,00;2.015,00;1;1;1;1;;
2012;Mercúrio Produções;1436;Distribuição Nacional;9.489;9.489;42.378,90;42.378,90;1;1;1;1;;
2012;Mirada Filmes;16012;Distribuição Nacional;162;162;1.756,00;1.756,00;1;1;1;1;;
2012;Mobz;19119;Distribuição Nacional;2.770;2.770;34.233,47;34.233,47;1;1;1;1;;
2012;Moviola Filmes;18147;Distribuição Nacional;460;460;2.856,00;2.856,00;1;1;1;1;;
2012;Okna Produções;11871;Distribuição Nacional;447;447;2.207,00;2.207,00;1;1;1;1;;
2012;Outros Filmes Produções;14944;Distribuição Nacional;576;576;3.480,00;3.480,00;2;2;2;2;;
2012;Panda Filmes;941;Distribuição Nacional;4.648;0;40.689,00;0,00;1;0;1;0;;
2012;Pandora Filmes;12443/333;Distribuição Nacional;68.267;4.163;683.995,57;31.565,14;21;4;8;1;;
2012;Paramount;169;Distribuição Internacional;12.716.639;170.471;142.273.551,00;1.883.285,00;12;1;9;1;;
2012;Paris;11922;Distribuição Nacional;17.631.287;370.624;189.518.045,70;3.879.782,74;39;1;31;1;;
2012;Petrini;18028;Distribuição Nacional;32.605;0;333.179,00;0,00;4;0;2;0;;
2012;Pipa Produções;5467;Distribuição Nacional;1.386;1.386;10.651,48;10.651,48;3;3;1;1;;
2012;Playarte;443;Distribuição Nacional;1.753.221;288.900;19.610.848,59;3.300.873,17;23;2;12;1;;
2012;Polifilmes;2550;Distribuição Nacional;1.843;1.843;10.192,01;10.192,01;7;7;0;0;;
