Listagem dos Agentes Econômicos Registrados na Ancine;;;;;;;;;
;;;;;;;;;
Registro Ancine;CNPJ;Razão Social;Atividade Econômica Principal;Natureza Jurídica;Munícipio;UF;Data do Primeiro Registro na Ancine;Data de Abertura da Empresa;Agente Econômico Brasileiro Independente
37676;24.929.247/0001-55;3M EDITORA, ARTES GRÁFICAS E PRODUTORA LTDA-ME;Edição de cadastros, listas e outros produtos gráficos;Sociedade Empresária Limitada;RECIFE;PE;12/09/2017;03/06/2016;SIM
2601;05.564.552/0001-46;3MARIAS PRODUTORA LTDA.;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Empresária Limitada;AMERICANA;SP;05/01/2005;26/03/2003;SIM
36898;10.432.889/0001-30;3MR&R PRODUCOES ARTISTICAS LTDA - ME;Atividades de gravação de som e de edição de música;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;30/06/2017;13/10/2008;SIM
38988;18.945.614/0001-01;3N PRODUÇÕES E EVENTOS LTDA;Atividades de gravação de som e de edição de música;Sociedade Empresária Limitada;SÃO GONÇALO;RJ;06/03/2018;22/02/2013;NÃO
39151;25.176.211/0001-00;3QS CINE E VIDEO LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;20/03/2018;11/07/2016;SIM
41554;31.333.146/0001-82;3T FILMES PRODUCOES AUDIOVISUAIS LTDA;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;FORTALEZA;CE;06/11/2018;24/08/2018;SIM
42123;11.110.278/0001-38;3WLINK PROVEDOR DE INTERNET EIRELI;Serviços de comunicação multimídia - SCM;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);MURIAÉ;MG;30/01/2019;02/09/2009;NÃO
38520;28.941.727/0001-92;4 ASAS PRODUCOES LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;04/01/2018;26/10/2017;SIM
35292;24.221.859/0001-99;4 BOCAS - FILMES E SERVIÇOS AUDIOVISUAIS LTDA;Estúdios cinematográficos;Sociedade Empresária Limitada;BRASÍLIA;DF;01/02/2017;22/02/2016;SIM
48345;17.624.692/0001-41;4 F PRODUTOS GRÁFICOS LTDA EPP;Edição de cadastros, listas e outros produtos gráficos;Sociedade Empresária Limitada;GUARATINGUETÁ;SP;07/05/2021;31/01/2013;SIM
35279;26.153.814/0001-50;4 K BRASIL PRODUÇÕES LTDA.;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;31/01/2017;13/09/2016;SIM
30057;09.290.006/0001-15;4 MILHAS PRODUÇÕES LTDA;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;Sociedade Empresária Limitada;SÃO PAULO;SP;26/05/2015;21/11/2007;SIM
34826;17.511.586/0001-51;4 YOU FILMS - EIRELI;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;08/12/2016;21/12/2012;SIM
48468;07.498.155/0001-49;40 GRAUS AGENCIA DE MODELOS LTDA;Agenciamento de profissionais para atividades esportivas, culturais e artísticas;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;21/05/2021;12/07/2005;SIM
