Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Data de Solicitação;Tipo de Ofício;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Nacionalidade da Produção;Local de Filmagem (UF);""""
12/04/2019;Comunicação filmagem estrangeira;3;TERRA 24/7 DIA E NOITE;Documentário;20/04/2019 a 30/05/2019;Neon Rio Ltda;RJ;"""Plimsoll Productions""";Reino Unido;Estrangeira;"""Rio de Janeiro (RJ), Pantanal (MT)""";
15/04/2019;Comunicação filmagem estrangeira;16;GoalStar Season 08 ? Brazil;Outro;23/06/2019;TvZERO CINEMA LTDA;RJ;"""ADD Content Ltd""";Israel;Estrangeira;"""Rio de Janeiro (RJ), Niterói (RJ)""";
16/04/2019;Comunicação filmagem estrangeira;3;Kageki to Zekkei no Adventure Tour;Documentário;10/05/2019 a 20/06/2019;Town Network Filmagens Ltda.;SP;"""Azmax Co. Ltd.""";Japão;Estrangeira;"""Manaus (AM), Novo Airão (AM), Presidente Figueiredo (AM), Manacapuru (AM)""";
17/04/2019;Comunicação filmagem estrangeira;2;Problem-solution;Documentário;22/04/2019 a 03/05/2019;Alfixit Produções Culturais e Artísticas Ltda;SP;"""Miran, Ltd.""";Hong Kong;Estrangeira;"""São Paulo (SP)""";
17/04/2019;Comunicação filmagem estrangeira;1;Problem-solution;Documentário;22/04/2019 a 03/05/2019;Alfixit Produções Culturais e Artísticas Ltda;SP;"""Miran, Ltd.""";Hong Kong;Estrangeira;"""São Paulo (SP)""";
18/04/2019;Alteração e inclusão de profissionais;1;Jungle Warriors;Outro;01/05/2019 a 13/05/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;"""Bright Road Productions""";Estados Unidos;Estrangeira;"""Manaus (AM)""";
18/04/2019;Alteração de período de filmagem;5;Pelé 2a. fase;Documentário;22/04/2019 a 04/05/2019;Saraguina Filmes e Produções eireli;RJ;"""Pitch International""";Reino Unido;Estrangeira;"""Santos (SP), São Paulo (SP), Guarujá (SP)""";
22/04/2019;Alteração e inclusão de profissionais;13;GoalStar Season 08 ? Brazil;Outro;23/06/2019;TvZERO CINEMA LTDA;RJ;"""ADD Content Ltd""";Israel;Estrangeira;"""Rio de Janeiro (RJ), Niterói (RJ)""";
22/04/2019;Comunicação filmagem estrangeira;5;Street Kings Brazil;Documentário;20/05/2019 a 31/05/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;"""VICE STUDIOS""";Países Baixos;Estrangeira;"""Osasco (SP)""";
24/04/2019;Comunicação filmagem estrangeira;3;Fatherhood;Documentário;28/04/2019 a 18/05/2019;Sol Entertainment Ltda;RJ;"""Imagine Documentaroes LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ), Joinville (SC)""";
