Listagem de Filmes Brasileiros e Estrangeiros Exibidos - 2009 a 2019;;;;;;;;;;
;;;;;;;;;;
Ano de exibição;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Público no ano de exibição;Renda (R$) no ano de exibição
2019;Calmaria;E1800392200000;Ficção;Estados Unidos;Estrangeira;28/02/2019;Diamond Films;Distribuição Nacional;24.033;486.033,00
2019;Caminhos Magnéticos;B1900057300000;Ficção;Portugal, Brasil;Brasileira;26/09/2019;Esfera Produções;Distribuição Nacional;92;1.082,00
2019;Camocim;B1700606900000;Documentário;Brasil;Brasileira;13/09/2018;Vitrine Filmes;Distribuição Nacional;55;165
2019;Capitã Marvel;E1900011200000;Ficção;Estados Unidos;Estrangeira;07/03/2019;Disney;Distribuição Internacional;8.991.777;146.759.329,00
2019;Carcereiros - O Filmes;B1900511300000;Ficção;Brasil;Brasileira;28/11/2019;Imagem;Distribuição Nacional;193.356;2.621.887,00
2019;Carros 3;E1700229800000;Animação;Estados Unidos;Estrangeira;13/07/2017;Disney;Distribuição Internacional;50;365
2019;Carta Para Além Dos Muros;B1900017500000;Documentário;Brasil;Brasileira;26/09/2019;Descoloniza Filmes;Distribuição Nacional;3.898;45.935,00
2019;Carta Registrada;E1900546000000;Ficção;Egito;Estrangeira;19/12/2019;A2 Filmes;Distribuição Nacional;ND;ND
2019;Carvana;B1800264200000;Documentário;Brasil;Brasileira;15/11/2018;Mac Comunicação;Distribuição Nacional;22;84
2019;Casal Improvável;E1900126800000;Ficção;Estados Unidos;Estrangeira;20/06/2019;Paris;Distribuição Nacional;129.350;2.413.461,00
2019;Cats;E1900437800000;Ficção;Estados Unidos, Reino Unido;Estrangeira;26/12/2019;Universal;Distribuição Internacional;44.063;916.398,00
2019;Caverna Dos Sonhos Esquecidos;E1600191600000;Documentário;Alemanha, Canadá, Estados Unidos, França, Reino Unido;Estrangeira;25/01/2013;Zeta Filmes;Distribuição Nacional;70;1.035,00
