"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2011""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
63;19/04/2011;2;"""Agricultura, Agropecuária e Desenvolvimento""";"""Documentário""";"""01/05/2011 a 25/05/2011""";"""Vemver Comunicação e Difusão Cultural Ltda""";"""RJ""";"""Les Productions de L'oeil Sauvage""";"""França""";"""Estrangeira""";"""PA"""
64;20/04/2011;1;"""Sala de Espera """;"""Ficção""";"""08/05/2011 a 25/05/2011""";"""Taiga Filmes e Vìdeo  Ltda""";"""RJ""";"""Ceneca Producciones """;"""Chile""";"""Coprodução""";"""RJ/ SP"""
65;25/04/2011;2;"""Gyouten Rule""";"""Documentário""";"""08/05/2011 a 27/05/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Em Network Co., Ltd""";"""Japão""";"""Estrangeira""";"""RJ/ SP"""
66;25/04/2011;2;"""Umino Mukou no Taisetsuna Hitoe""";"""Documentário""";"""19/05/2011 a 31/05/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Dmark Co., Ltd.""";"""Japão""";"""Estrangeira""";"""SP"""
67;29/04/2011;4;"""60 Minutes Amazon""";"""Documentário""";"""27/05/2011 a 17/06/2011""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Nine Network Australia Pty Ltd""";"""Austrália""";"""Estrangeira""";"""DF/ PA/RR"""
68;04/05/2011;7;"""Raising The Next Generation e Lumix""";"""Publicitária""";"""15/05/2011 a 30/06/2011""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP"""
69;04/05/2011;11;"""Around The World In 80 Ways """;"""Programa de TV (reality show)""";"""19/05/2011 a 30/05/2011""";"""Iluminatta Produtora de Filmes Ltda""";"""RJ""";"""Original Pictures""";"""Estados Unidos""";"""Estrangeira""";"""RJ/SP"""
70;04/05/2011;1;"""Neytrap""";"""Publicitária""";"""12/05/2011 a 26/05/2011""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Dentsu""";"""Japão""";"""Estrangeira""";"""SP"""
71;11/05/2011;5;"""Extreme Fishing With Robson Green""";"""Documentário""";"""22/05/2011 a 30/06/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Iwc Media Ltd""";"""Reino Unido""";"""Estrangeira""";"""RJ/ SC/ MT"""
72;12/05/2011;9;"""P&G Campaign - The Best Job""";"""Publicitária""";"""02/06/2011 a 12/06/2011""";"""Conspiração Filmes S/A""";"""RJ""";"""Anonymous Content """;"""Estados Unidos""";"""Estrangeira""";"""RJ"""
73;13/05/2011;4;"""Pesquisando a Onça Fêmea do Pantanal""";"""Documentário""";"""03/06/2011 a 22/06/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Feity Films Ltd""";"""Reino Unido""";"""Estrangeira""";"""MT"""
74;13/05/2011;6;"""Anthem""";"""Publicitária""";"""01/06/2011 a 22/06/2011""";"""Planeta Film Ltda.""";"""SP""";"""Prolongue Pictures""";"""Estados Unidos""";"""Estrangeira""";"""PR"""
75;13/05/2011;10;"""Comedy Family""";"""Ficção""";"""20/05/2011 a 20/07/2011""";"""Isla Fotovideo Produções Ltda""";"""RJ""";"""Etana Productions FZ LLC""";"""Emirados Árabes""";"""Estrangeira""";"""RJ"""
76;17/05/2011;7;"""Brasil com Michel Palin""";"""Documentário""";"""20/06/2011 a 15/07/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Prominent Palin Productions Ltd.""";"""Reino Unido""";"""Estrangeira""";"""BA/ MA/ PE"""
77;18/05/2011;1;"""Chikyuu Zekkei Kikou""";"""Documentário""";"""13/06/2011 a 06/07/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Wood's Office""";"""Japão""";"""Estrangeira""";"""RJ/ SP/ BA/ AM/ MT"""
78;19/05/2011;8;"""Coffee Confidential 2011""";"""Documentário""";"""02/06/2011 a 16/06/2011""";"""Cassio E. de Oliveira Pardini Produções - ME""";"""SP""";"""Television Broadcasts. Limites TVB City""";"""China""";"""Estrangeira""";"""RJ/ SP/ MG"""
79;25/05/2011;5;"""Zulu Adventure""";"""Documentário""";"""07/06/2011 a 20/06/2011""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Koncern TV and Film Production""";"""Dinamarca""";"""Estrangeira""";"""AM"""
80;19/05/2011;4;"""DS La Vibe""";"""Documentário""";"""26/05/2011 a 30/05/2011""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Berenice Production""";"""Guiana Francesa""";"""Estrangeira""";"""AM"""
81;20/05/2011;4;"""Beyond Series""";"""Documentário""";"""06/06/2011 a 16/06/2011""";""" Ocean Produção de Filmes Ltda.""";"""RJ""";"""Adventiste Media Network""";"""Austrália""";"""Estrangeira""";"""RJ/ AP"""
82;20/05/2011;3;"""Pete Murray in Brazil""";"""Documentário""";"""25/05/2011 a 02/06/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Starchild Productions """;"""Austrália""";"""Estrangeira""";"""RJ/ SP"""
83;20/05/2011;7;"""Despedida do Jogador Ronaldo no Amistoso Brasil x Romênia""";"""Documentário""";"""29/05/2011 a 09/06/2011""";"""Globo Comunicação e Participações S/A""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ/ SP"""
84;23/05/2011;5;"""The Zoo of Love """;"""Documentário""";"""10/06/2011 a 17/06/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Sultan Sushi TV""";"""Bélgica""";"""Estrangeira""";"""BA """
85;24/05/2011;18;"""Vermelho Brasil""";"""Ficção""";"""08/08/2011 a 30/11/2011""";"""Conspiração Filmes S/A""";"""RJ""";"""Pampa Production""";"""França""";"""Coprodução""";"""RJ"""
86;26/05/2011;32;"""Amazônia Planeta  Verde""";"""Ficção""";"""25/05/2011 a 31/12/2011""";"""Gullane Entretenimento S/A""";"""SP""";"""Gedeon Programmes e Biloba  Films""";"""França""";"""Coprodução""";"""AM"""
87;27/05/2011;2;"""Vermist""";"""Documentário""";"""11/06/2011 a 19/06/2011""";"""Mares Produções Ltda""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""S P"""
88;02/06/2011;1;"""Lacta - Mundo de Chocolate""";"""Publicitária""";"""08/06/2011 a 23/06/2011""";"""Zohar Cinema e Comunicção Ltda""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ"""
89;03/06/2011;3;"""Far off Friends""";"""Documentário""";"""29/06/2011 a 31/07/2011""";"""Paradiso Filmes Ltda """;"""SP""";"""Triplevision Productions Ltd""";"""Irlanda""";"""Estrangeira""";"""CE/ PI"""
90;03/06/2011;2;"""A Vida Tradicional na Floresta""";"""Documentário""";"""10/06/2011 a 15/06/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Seven Network""";"""Austrália""";"""Estrangeira""";"""AM"""
91;07/06/2011;2;"""Brazil's Football""";"""Documentário""";"""10/06/2011 a 20/06/2011""";"""Neon Rio Ltda.""";"""RJ""";"""IMG Media Ltd""";"""Inglaterra""";"""Estrangeira""";"""SP"""
92;10/06/2011;25;"""Das Traumschiff Spezial""";"""Documentário""";"""01/08/2011 a 20/08/2011""";"""Optomagic Filmesom Ltda """;"""RJ""";"""Polyphon Film und Fernseh Gesellschaft""";"""Alemanha""";"""Estrangeira""";"""BA"""
93;10/06/2011;5;"""Stephen Fry: Out There""";"""Documentário""";"""22/06/2011 a 30/06/2011""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Maverick Television """;"""Inglaterra""";"""Estrangeira""";"""RJ/ SP"""
94;10/06/2011;2;"""10 Anos Mais Jovem""";"""Programa de TV (reality show)""";"""13/06/2011 a 24/06/2011""";"""Dogs Can Fly Produções Cinematográficas  Ltda""";"""SP""";"""Endemol Argentina  S/A""";"""Argentina""";"""Estrangeira""";"""SP"""
95;15/06/2011;6;"""""Quiet Train"" e ""bread"" """;"""Publicitária""";"""20/06/2011 a 25/07/2011""";"""Planeta Film Ltda.""";"""SP""";"""MJZ LA """;"""Estados Unidos""";"""Estrangeira""";"""RJ/ SP"""
96;16/06/2011;6;"""Partida Final da Taça Libertadores (Santos x Peñarol)""";"""Documentário""";"""17/06/2011 a 24/06/2011""";"""Globo Comunicação e Participações S/A""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""SP"""
97;17/06/2011;2;"""Jyonestu Tairiku""";"""Documentário""";"""09/07/2011 a 19/07/2011""";"""XES Projetos Visuais Ltda.""";"""SP""";"""Mainichi Broadcasting Sistem, Inc""";"""Japão""";"""Estrangeira""";"""DF  """
98;17/06/2011;2;"""IBM do Brasil""";"""Institucional""";"""27/06/2011 a 04/07/2011""";"""Cassio E. de Oliveira Pardini Produções - ME""";"""SP""";"""Trifilm Productions """;"""Estados Unidos""";"""Estrangeira""";"""RJ"""
