Listagem de Complexos de Exibição por Município e UF - 2019;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
221;MG;PIUMHI;34.691;Josué´s Cine Piumhi (Canastra);JOSUE'S CINE;20442;1
222;MG;POÇOS DE CALDAS;167.397;Centerplex Shopping Poços de Caldas;CENTERPLEX;16776;4
223;MG;POÇOS DE CALDAS;167.397;Ultravisão Cinemas;INDEPENDENTE;27373;4
224;MG;POUSO ALEGRE;150.737;Cine A Pouso Alegre;CINE A;39367;3
225;MG;POUSO ALEGRE;150.737;Cineart Serra Sul Shopping;CINEART;26529;4
226;MG;SANTO ANTÔNIO DO MONTE;28.243;Josué's Cine Samonte;JOSUE'S CINE;19846;1
227;MG;SÃO JOÃO DEL REI;90.082;Cine Glória;LOMBARDI & RESENDE;6703;1
228;MG;SÃO JOÃO DEL REI;90.082;Cine Glória Shopping;LOMBARDI & RESENDE;12006;1
229;MG;SÃO LOURENÇO;45.851;Cine A São Lourenço;CINE A;39366;1
230;MG;SÃO SEBASTIÃO DO PARAÍSO;70.956;Cine A Paraíso;CINE A;39676;1
231;MG;TEÓFILO OTONI;140.592;Cine Teca;CINE FILMES;30491;2
232;MG;TRÊS CORAÇÕES;79.482;Cine A Três Corações;CINE A;39365;2
233;MG;UBERABA;333.783;Cinemais Uberaba;CINEMAIS;33110;8
234;MG;UBERABA;333.783;KINOPLEXUberaba;KINOPLEX;30652;6
235;MG;UBERLÂNDIA;691.305;Cinemark Uberlândia Shopping;CINEMARK;21561;5
236;MG;UBERLÂNDIA;691.305;Cinépolis Center Shopping Uberlândia;CINÉPOLIS;30098;10
237;MG;UNAÍ;84.378;Cine Premier Unaí;PREMIER;31316;1
238;MG;VARGINHA;135.558;Cinemark Via Café;CINEMARK;32049;4
239;MG;VIÇOSA;78.846;Cine Calçadão;INDEPENDENTE;27787;1
240;MG;BELO HORIZONTE;2.512.070;Cine 104;INDEPENDENTE;21938;1
241;MG;ITAJUBÁ;96.869;Cine A Itajubá;CINE A;41725;4
242;MG;BARBACENA;137.313;Cineart Parque Barbacena Shopping;CINEART;42601;4
243;MG;CORONEL FABRICIANO;109.855;Cine Alvorada;INDEPENDENTE;42409;1
244;MG;SÃO JOÃO NEPOMUCENO;26.361;Aliança Shopping;INDEPENDENTE;43520;1
245;MG;BARÃO DE COCAIS;32.485;Cine Barão Shopping;INDEPENDENTE;44106;1
246;MG;ALFENAS;79.996;Cine A Alfenas;CINE A;44017;3
247;MG;SETE LAGOAS;239.639;Grupocine Sete Lagoas;GRUPO CINE;44289;4
248;MS;AQUIDAUANA;47.871;Grupo Cine Aquidauana ;INDEPENDENTE;30172;1
249;MS;CAMPO GRANDE;895.982;Cinemark Campo Grande;CINEMARK;904;10
