Listagem de Complexos de Exibição por Município e UF - 2017;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
186;MG;IPATINGA;261.203;Moviecom Vale do Aço;MOVIECOM BOTUCATU;2924;4
187;MG;ITABIRA;119.285;Espaço Cinemax;INDEPENDENTE;6680;2
188;MG;ITAJUBÁ;97.000;Cine Club Itajubá;INDEPENDENTE;19988;1
189;MG;ITAÚNA;92.696;AFA Cine Ritz Itauna;AFA;38005;3
190;MG;ITUIUTABA;104.526;Cinemais Ituiutaba;CINEMAIS;29198;2
191;MG;JUIZ DE FORA;563.769;Cinemais Jardim Norte Shopping;CINEMAIS;33511;6
192;MG;JUIZ DE FORA;563.769;Cinemais Juiz de Fora;CINEMAIS;23841;5
193;MG;JUIZ DE FORA;563.769;Cineminas Juiz de Fora;CINEMINAS;35125;2
194;MG;JUIZ DE FORA;563.769;UCI Kinoplex Independência;UCI RIBEIRO;14657;5
195;MG;LAVRAS;102.124;Cine A Lavras;CINE A;39675;2
196;MG;MANHUAÇU;88.580;Centro Cultural João Bracks;INDEPENDENTE;15295;1
197;MG;MONTES CLAROS;402.027;Cinemais Montes Claros;CINEMAIS;23844;5
198;MG;MONTES CLAROS;402.027;Ibi Cinemas;INDEPENDENTE;19501;4
199;MG;MURIAÉ;108.537;Cine Veredas;INDEPENDENTE;6647;1
200;MG;NOVA SERRANA;94.681;SerraCine;SERRA CINE;6653;1
201;MG;OLIVEIRA;41.907;Center Cine Oliveira;INDEPENDENTE;14490;1
202;MG;PARÁ DE MINAS;92.739;Estação Cine Café;INDEPENDENTE;26312;1
203;MG;PARACATU;92.386;Mobi Cine Paracatu;MOBICINE;37281;3
204;MG;PASSOS;114.458;Cine Roxy Passos;INDEPENDENTE;6613;1
205;MG;PATOS DE MINAS;150.893;Cinemais Patos de Minas;CINEMAIS;22803;3
206;MG;PEDRO LEOPOLDO;63.837;Cine Marajá;INDEPENDENTE;17595;1
207;MG;PIUMHI;34.525;Josué´s Cine Piumhi (Canastra);JOSUE'S CINE;20442;1
208;MG;POÇOS DE CALDAS;166.085;Centerplex Shopping Poços de Caldas;CENTERPLEX;16776;4
209;MG;POÇOS DE CALDAS;166.085;Ultravisão Cinemas;INDEPENDENTE;27373;4
210;MG;POUSO ALEGRE;147.137;Cine A Pouso Alegre;CINE A;39367;1
211;MG;POUSO ALEGRE;147.137;Cineart Serra Sul Shopping;CINEART;26529;4
212;MG;SANTA BÁRBARA;30.690;Cine Vitória Santa Bárbara;INDEPENDENTE;17933;1
213;MG;SÃO JOÃO DEL REI;90.263;Cine Glória;LOMBARDI & RESENDE;6703;1
214;MG;SÃO JOÃO DEL REI;90.263;Cine Glória Shopping;LOMBARDI & RESENDE;12006;1
215;MG;SÃO LOURENÇO;45.457;Cine A São Lourenço;CINE A;39366;1
216;MG;SÃO SEBASTIÃO DO PARAÍSO;70.533;Cine A São Sebastião do Paraíso;CINE A;6661;1
217;MG;SETE LAGOAS;236.228;Grupo Cine Sete Lagoas;GRUPO CINE;17733;4
218;MG;TEÓFILO OTONI;141.934;Cine Teca;CINE FILMES;30491;2
219;MG;TRÊS CORAÇÕES;78.999;Cine A Três Corações;CINE A;39365;2
220;MG;UBERABA;328.272;Cinemais Uberaba;CINEMAIS;33110;8
221;MG;UBERABA;328.272;KINOPLEXUberaba;KINOPLEX;30652;6
222;MG;UBERLÂNDIA;676.613;Cinemark Uberlândia Shopping;CINEMARK;21561;5
223;MG;UBERLÂNDIA;676.613;Cinépolis Center Shopping Uberlândia;CINÉPOLIS;30098;8
224;MG;UNAÍ;83.980;Cine Premier Unaí;PREMIER;31316;1
225;MG;VARGINHA;134.364;Cinemark Via Café;CINEMARK;32049;4
226;MG;VIÇOSA;78.381;Cine Calçadão;INDEPENDENTE;27787;1
227;MS;AQUIDAUANA;47.482;Grupo Cine Aquidauana ;INDEPENDENTE;30172;1
228;MS;CAMPO GRANDE;874.210;Cinemark Campo Grande;CINEMARK;904;10
229;MS;CAMPO GRANDE;874.210;Cinépolis Norte Sul Plaza;CINÉPOLIS;20429;7
230;MS;CAMPO GRANDE;874.210;UCI Bosque dos Ipês;UCI;27590;6
231;MS;COXIM;33.323;Cine Viva 3D;INDEPENDENTE;32419;1
232;MS;DOURADOS;218.069;ARAÚJO Multiplex Avenida;ARAÚJO;6397;3
233;MT;ALTA FLORESTA;50.189;Cine Company Alta Floresta;INDEPENDENTE;37638;1
234;MT;BARRA DO GARÇAS;58.974;Cine Laser Barra do Garças;LASER;33806;3
235;MT;CÁCERES;91.271;Cine Xin;INDEPENDENTE;15266;2
236;MT;CUIABÁ;590.118;ARAÚJO Cuiabá Shopping Pantanal;ARAÚJO;4399;8
237;MT;CUIABÁ;590.118;Cinemark Goiabeiras;CINEMARK;24765;7
238;MT;CUIABÁ;590.118;Cinépolis Três Américas;CINÉPOLIS;30122;8
239;MT;PRIMAVERA DO LESTE;59.293;Cine Teatro Vila Rica;INDEPENDENTE;14638;2
240;MT;RONDONÓPOLIS;222.316;Cine Vip.Com;INDEPENDENTE;14782;3
241;MT;SINOP;135.874;Cine Center do Machado;INDEPENDENTE;29862;2
242;MT;SORRISO;85.223;Cine Laser Sorriso;LASER;19467;2
243;MT;TANGARÁ DA SERRA;98.828;Cineshop 3D;INDEPENDENTE;19404;2
244;MT;VÁRZEA GRANDE;274.013;Cineflix Várzea Grande Shopping;CINEFLIX;31101;6
245;PA;ALTAMIRA;111.435;Cine A Altamira;CINE A;33426;1
246;PA;BELÉM;1.452.275;Cine Estação das Docas;INDEPENDENTE;12242;1
247;PA;BELÉM;1.452.275;Cinépolis Boulevard Belém;CINÉPOLIS;17763;7
248;PA;BELÉM;1.452.275;Cinépolis Parque Belém;CINÉPOLIS;21616;7
249;PA;BELÉM;1.452.275;Moviecom Belém Pátio;MOVIECOM SÃO PAULO;13915;6
250;PA;BELÉM;1.452.275;Moviecom Castanheira;MOVIECOM SÃO PAULO;2896;7
251;PA;BELÉM;1.452.275;UCI Bosque Grão-Pará;UCI;32026;6
252;PA;CASTANHAL;195.253;Moviecom Castanhal Shopping;MOVIECOM SÃO PAULO;15211;3
253;PA;ITAITUBA;98.523;Itacine;INDEPENDENTE;26810;1
254;PA;MARABÁ;271.594;Cine A Marabá;CINE A;28466;4
255;PA;MARABÁ;271.594;Moviecom Pátio Marabá;MOVIECOM SÃO PAULO;25394;5
256;PA;PARAGOMINAS;110.026;Mobi Cine Paragominas;MOBICINE;28563;2
257;PA;PARAUAPEBAS;202.356;CIRCUITOParauapebas;CIRCUITO;27873;4
258;PA;SANTARÉM;296.302;Cine Laser Santarém;LASER;21688;2
259;PA;SANTARÉM;296.302;Cinesystem Santarém (Rio Tapajós Shopping);CINESYSTEM;31524;5
260;PA;TUCURUÍ;110.516;Mobi Cine Tucuruí;MOBICINE;31594;3
261;PA;XINGUARA;43.530;Cinemax Xinguara;INDEPENDENTE;24284;2
262;PB;CAMPINA GRANDE;410.332;Cinesercla Campina Grande;EXIBIDORA NACIONAL;18991;5
263;PB;GUARABIRA;58.881;Cinemaxxi Cidade Luz;INDEPENDENTE;32727;3
264;PB;JOÃO PESSOA;811.598;Centerplex Mag Shopping;CENTERPLEX;37602;4
265;PB;JOÃO PESSOA;811.598;Cine Banguê;INDEPENDENTE;32860;1
266;PB;JOÃO PESSOA;811.598;Cinépolis Manaíra Shopping;CINÉPOLIS;30097;11
267;PB;JOÃO PESSOA;811.598;Cinépolis Mangabeira;CINÉPOLIS;31527;5
268;PB;JOÃO PESSOA;811.598;Cinesercla Tambiá;EXIBIDORA NACIONAL;5893;6
269;PB;PATOS;107.790;Cine Guedes;INDEPENDENTE;23267;2
270;PB;REMÍGIO;19.579;Cine RT;INDEPENDENTE;20396;1
271;PE;CABO DE SANTO AGOSTINHO;204.653;Costa Dourada;INDEPENDENTE;19239;4
272;PE;CARUARU;356.128;Centerplex Caruaru Shopping;CENTERPLEX;19291;4
273;PE;CARUARU;356.128;Planet Caruaru;PLANET CINEMAS;24297;4
274;PE;GARANHUNS;138.642;Moviemax Cine Eldorado;PMC;16399;2
275;PE;JABOATÃO DOS GUARARAPES;695.956;Cinépolis Shopping Guararapes;CINÉPOLIS;30155;12
276;PE;PAULISTA;328.353;Cinesystem Paulista North Way Shopping;CINESYSTEM;33152;9
277;PE;PETROLINA;343.219;Orient River Shopping;ORIENT;1671;4
278;PE;RECIFE;1.633.697;Cinema do Museu do Homem do Nordeste;FUNDAJ;36182;1
279;PE;RECIFE;1.633.697;Cinema São Luiz;INDEPENDENTE;16644;1
280;PE;RECIFE;1.633.697;Cinemark Riomar Recife;CINEMARK;24763;12
281;PE;RECIFE;1.633.697;KINOPLEXMultiplex Boa Vista;KINOPLEX;6634;6
282;PE;RECIFE;1.633.697;Moviemax Cine Rosa e Silva;PMC;26188;4
283;PE;RECIFE;1.633.697;UCI Kinoplex de Lux Shopping Recife;UCI RIBEIRO;27585;4
284;PE;RECIFE;1.633.697;UCI Kinoplex Plaza Casa Forte Shopping;UCI RIBEIRO;14658;5
285;PE;RECIFE;1.633.697;UCI Kinoplex Recife Shopping;UCI RIBEIRO;2613;10
286;PE;RECIFE;1.633.697;UCI Kinoplex Shopping Tacaruna;UCI RIBEIRO;2614;8
287;PE;SÃO LOURENÇO DA MATA;112.099;Moviemax Cine Royal;PMC;16400;1
288;PE;TRIUNFO;15.221;Theatro Cinema Guarany;INDEPENDENTE;38167;1
289;PE;VITÓRIA DE SANTO ANTÃO;137.578;Grupo Cine Vitória de Santo Antão;GRUPO CINE;27731;4
290;PI;PARNAÍBA;150.547;Multicine Parnaíba Shopping;MULTICINE;30738;4
291;PI;PICOS;76.928;Multicine Picos Plaza Shopping;MULTICINE;34990;3
292;PI;TERESINA;850.198;Cinemas Teresina (Teresina Shopping);INDEPENDENTE;6595;7
293;PI;TERESINA;850.198;Cinépolis Rio Poty;CINÉPOLIS;30352;12
