Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
1998;B0600556000000;Boleiros, Era uma Vez o Futebol;Ugo Giorgetti;Ficção;SP Filmes de São Paulo;SP; -; -;Tabu Arte;ND;60.000;300.000,00;Sim;20.680,33; - ;1.378.141,20; - ; - ; - ; - ; - ; - ; -; -;1.398.821,53
1998;B0500310900000;Central do Brasil;Walter Salles;Ficção;Videofilmes;RJ; -; -;S. Ribeiro/RioFilme;79;1.593.967;8.087.276,00;Sim;579.000,00; - ;2.239.000,00; - ;254.415,70; - ; - ; - ; - ; -; -;3.072.415,70
1998;Sem CPB;Cinderela Bahiana;Conrado Sanchez;Ficção;Galante Filmes;SC; -; -;Art Filmes;ND;32.000;180.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1998;B0500272900000;Como Ser Solteiro;Rosane Svartman;Ficção;Raccord Produções;RJ; -; -;S. Ribeiro/RioFilme;25;150.778;825.101,00;Sim; - ; - ;457.517,24; - ; - ; - ; - ; - ; - ; -; -;457.517,24
1998;B0500403300000;Coração Iluminado;Hector Babenco;Ficção;HB Filmes;SP; -; -;Columbia;19;17.850;92.892,00;Sim;3.313.201,01; - ;2.992.000,00; - ;2.904.081,59; - ; - ; - ; - ; -; -;9.209.282,60
1998;B0500403400000;For All - o Trampolim da Vitória;Buza Ferraz/Luiz Carlos Lacerda;Ficção;Bigdeni Filmes;RJ; -; -;Columbia;35;62.604;348.628,00;Sim;479.999,99; - ;2.398.012,00; - ;1.304.518,00; - ; - ; - ; - ; -; -;4.182.529,99
1998;B0400110800000;Kenoma;Eliane Caffé;Ficção;A.F. Cinema;SP; -; -;RioFilme;ND;8.197;40.000,00;Sim; - ; - ;1.009.105,00; - ;103.465,16; - ; - ; - ; - ; -; -;1.112.570,16
1998;B0500310800000;La Serva Padrona;Carla Camurati;Ficção;Copacabana Filmes e Produções;RJ; -; -;Elimar;ND;50.000;250.000,00;Sim;298.418,99; - ; - ; - ;32.119,11; - ; - ; - ; - ; -; -;330.538,10
1998;B0500242600000;Menino Maluquinho 2 - A Aventura;Fabrízia Alves Pinto/Fernando Meirelles;Ficção;Grupo Novo de Cinema e TV;RJ; -; -;S. Ribeiro/RioFilme;94;367.456;898.496,00;Sim;730.001,43; - ;2.987.780,00; - ;300.000,00; - ; - ; - ; - ; -; -;4.017.781,43
1998;B0800834800000;O Toque do Oboé;Cláudio Macdowell;Ficção;Imágica Produções;RJ;RioFilme;RJ;RioFilme;ND;2.368;12.000,00;Sim;150.000,00; - ;1.012.201,00; - ; - ; - ; - ; - ; - ; -; -;1.162.201,00
1998;B0500334800000;Policarpo Quaresma - Herói do Brasil;Paulo Thiago;Ficção;Vitória Produções;RJ; -; -;S. Ribeiro/RioFilme;11;76.761;183.538,00;Sim;2.080.620,80; - ;980.417,52; - ;107.253,00; - ; - ; - ; - ; -; -;3.168.291,32
1998;B0500335300000;Simão, o Fantasma Trapalhão;Paulo Aragão;Ficção;Renato Aragão Produções;RJ; -; -;Columbia;246;1.658.136;6.118.522,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1998;B1101381700000;Terra do Mar;Eduardo Caron/Mirella Martinelli;Documentário;Bad Machine;SP; -; -;RioFilme;2;1.531;7.596,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1998;B0500307600000;Traição;Arthur Fontes/Claudio Torres/José Henrique Fonseca;Ficção;Conspiração Filmes;RJ; -; -;Lumière;7;37.572;202.207,00;Sim;70.000,00; - ;750.489,88; - ; - ; - ; - ; - ; - ; -; -;820.489,88
1998;B0600491200000;Tudo é Brasil;Rogério Sganzerla;Documentário;Mercúrio Produções;SP; -; -;RioFilme;1;1.910;5.348,00;Sim; - ; - ;292.290,00; - ; - ; - ; - ; - ; - ; -; -;292.290,00
1999;B0500436200000;A Hora Mágica;Guilherme de Almeida Prado;Ficção;Star Filmes ;SP; -; -;RioFilme;7;5.999;31.891,00;Sim;11.500,00; - ;1.131.518,00; - ; - ; - ; - ; - ; - ; -; -;1.143.018,00
1999;B0400055300000;Até que a Vida nos Separe;José Zaragoza;Ficção;Zaragoza Produções;SP; -; -;RioFilme;36;43.815;243.629,00;Sim;845.000,00; - ;2.834.981,00; - ; - ; - ; - ; - ; - ; -; -;3.679.981,00
1999;B0700724300000;Caminho dos Sonhos;Luca Amberg;Ficção;Amberg Filmes;SP; -; -;UIP;22;14.646;68.060,00;Sim; - ; - ;1.431.000,00; - ; - ; - ; - ; - ; - ; -; -;1.431.000,00
1999;B0500313700000;Castelo Rá-Tim-Bum, o Filme;Cao Hamburger;Ficção;A.F. Cinema/Caos Produções;SP/SP; -; -;Columbia;134;725.329;3.031.875,00;Sim;346.449,04; - ;3.000.000,00; - ;2.920.504,18; - ; - ; - ; - ; -; -;6.266.953,22
